region,regionCode,puuid,accountId,matchId,gameCreation,gameDuration,gameStartTimestamp,gameEndTimestamp,gameEndTimestampToDate,gameMode,gameType,platformId,assists,baronKills,champExperience,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,dragonKills,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summonerLevel,summonerName,teamPosition,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCCDealt,totalUnitsHealed,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,abilityUses,baronTakedowns,bountyGold,completeSupportQuestInTime,controlWardsPlaced,deathsByEnemyChamps,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterSteals,killsWithHelpFromEpicMonster,legendaryCount,multiKillOneSpell,multikills,multikillsAfterAggressiveFlash,pickKillWithAlly,skillshotsDodged,skillshotsHit,soloBaronKills,soloKills,takedowns,teamBaronKills,teamElderDragonKills,teamRiftHeraldKills,tookLargeDamageSurvived,turretPlatesTaken,turretsTakenWithRiftHerald,wardTakedowns,wardsGuarded,kills
AMERICAS,BR1,6Fb0mhulFFrDpsrt4mZQe4_TyUvIECCtEZmngDRVRvcp9PZ9_S2RLW5ow91AGRMPHKm4ENmwlIqZ-g,eynhyyXBb5n8IQXocFOLeneJixTcsG-JezeKP2DAYLXsv4w,BR1_2677677206,1675798968919,1572,1675798968919,1675800541732,2023-02-07,CLASSIC,MATCHED_GAME,BR1,1,0,12839,14,420,Illaoi,7333,7589,7333,22333,9,1,0,False,False,9847,TOP,0,0,1,TOP,4,0,1,413,1554,225,2750,0,0,1,0,0,0,121073,15361,21827,SOLO,52,82,21,7,319,Player_3800,TOP,124584,16033,26827,4934,143,16,1,1956,446,2250,2,2,8,18,1,1,9,False,162,0,150,0,1,9,0,0,0,0.0,0,0,0,0,0,0,1,15,17,0,3,4,0,0,2,0,4,0,1,0,
AMERICAS,BR1,H7yR7t_oziK3sW0LU7b8-6svymRX4yMf_OGAQ-ZMZy7DGf4tZNTDDR1uleUyp9YrVCEtsoyrl7NkyQ,zwJ0OjgHYqdT-bLG_Cx4Cht7mCt0ukWPgKmWK59CAN06JxAHyOvilqLN,BR1_2677677206,1675798968919,1572,1675798968919,1675800541732,2023-02-07,CLASSIC,MATCHED_GAME,BR1,6,0,11197,13,876,Lillia,0,13026,0,13746,8,1,0,False,False,10297,JUNGLE,0,0,1,JUNGLE,0,2,2,525,85217,12050,11235,104,0,1,0,0,0,14167,383,19141,NONE,123,48,61,7,34,Player_3801,JUNGLE,149112,16461,31080,6805,28,318,1,49727,4027,702,0,0,8,27,1,3,9,False,239,0,150,0,1,8,0,0,9,8.000000029802322,0,0,0,0,1,0,8,11,11,0,4,13,0,0,2,0,0,0,3,0,
AMERICAS,BR1,Player Not Found,Player Not Found,BR1_2677677206,1675798968919,1572,1675798968919,1675800541732,2023-02-07,CLASSIC,MATCHED_GAME,BR1,1,0,11152,13,238,Zed,129,129,129,9753,5,0,0,False,False,8822,MIDDLE,0,0,1,MIDDLE,408,3,1,461,8558,896,9709,4,0,1,0,0,0,72486,10412,7118,SOLO,71,44,70,11,190,Player_3802,MIDDLE,81753,11789,17632,519,122,88,1,708,480,804,0,0,8,13,0,2,8,False,196,0,850,0,0,5,0,0,0,0.0,0,0,0,0,0,0,4,26,39,0,2,6,0,0,2,0,0,0,2,0,
AMERICAS,BR1,_0bZKGB5tOacZTYI-55ngHo6bZhm1eH4eLEfbIRIp02z0lP1QLdADL_tCW9On6LNZI1x6-Z-my1wAw,4SOcAjGy1Q8EUW1x6-j4NdtxCEYA2EXKCqbkeFU4w5XFJEsJhlej0fMv,BR1_2677677206,1675798968919,1572,1675798968919,1675800541732,2023-02-07,CLASSIC,MATCHED_GAME,BR1,3,0,11238,13,81,Ezreal,2524,3250,2524,6420,5,1,0,False,False,9520,BOTTOM,0,0,1,BOTTOM,368,4,1,627,17681,4128,2589,0,0,1,0,0,0,91161,8594,10938,CARRY,186,28,29,9,68,Player_3803,BOTTOM,114826,12860,14864,1645,169,0,2,5982,137,1336,0,0,8,18,1,1,8,False,252,0,450,0,1,5,0,0,0,0.0,0,0,0,0,0,0,4,7,72,0,3,8,0,0,2,0,2,0,1,0,
AMERICAS,BR1,6r01AFcWj0r9GsyA823E1x12rvCi__DYYIgb0G9_fhV6UPOWQP-M1lDJOAnaehsdeuD1e9a0k0oVsA,f_MYbJmEjjV-oL6aT6rPTBoF1m5Tm1v8zAee613s39vVn1lNzKS1ASJD,BR1_2677677206,1675798968919,1572,1675798968919,1675800541732,2023-02-07,CLASSIC,MATCHED_GAME,BR1,2,0,4791,8,143,Zyra,516,516,516,2463,5,1,0,False,False,6019,UTILITY,0,0,1,BOTTOM,0,0,1,306,15998,3187,1797,0,0,1,0,0,0,3293,378,5099,SUPPORT,18,50,27,3,192,Player_3804,UTILITY,19859,3848,7245,0,25,134,0,567,282,349,0,0,8,6,1,1,3,False,98,0,0,0,1,5,0,0,15,0.0,0,0,0,0,0,0,3,1,11,0,0,4,0,0,2,0,2,0,1,0,
AMERICAS,BR1,b3tBmQ2XTZ6Ezf1ARoi73fQDWxWXBSXtN-sbNh44TfVlvvuaSBVMY42zyH2-Vw-SqzNNvVz67Y1tkw,QMRxQ9rBasX_AFr-tP2Ase5--UoyrHQj1T9u2SO9AIDtOLQ,BR1_2677677206,1675798968919,1572,1675798968919,1675800541732,2023-02-07,CLASSIC,MATCHED_GAME,BR1,4,0,15766,16,122,Darius,7180,25313,7180,30504,5,1,0,False,False,12919,TOP,1,1,0,TOP,0,2,1,352,0,0,3569,13,0,0,0,0,0,143213,19620,19521,SOLO,70,90,20,12,290,Player_3805,TOP,154318,21848,25965,7485,162,74,1,11105,2228,2873,3,3,3,20,1,0,10,True,192,0,300,0,1,5,0,0,15,5.000000029802322,0,0,0,0,0,0,6,2,0,0,6,12,1,0,2,0,2,10,32,0,
AMERICAS,BR1,h5Q-eStnq8Zf_6cS0QflHs2NmQ9wzn82srfAx07ed0j7XLKxMgavJSUP-lJic3skJEtG5EtkMxANKA,-pH-UqwNav9McGV9yDTeZfZ2c4sFxYRgpyZbtkbmGG0jkijAw8uUHGfo,BR1_2677677206,1675798968919,1572,1675798968919,1675800541732,2023-02-07,CLASSIC,MATCHED_GAME,BR1,3,1,13243,15,35,Shaco,2396,28274,2396,11610,5,2,2,False,False,13935,JUNGLE,0,0,0,JUNGLE,778,10,2,538,20180,5023,6465,108,0,0,1,0,0,101599,16800,14339,NONE,50,42,26,97,298,Player_3630,JUNGLE,149491,22942,21910,353,6,666,1,27713,1118,1104,1,2,3,21,2,3,3,True,215,1,375,0,2,5,0,0,9,4.000000029802322,0,0,1,0,1,0,17,10,0,0,4,23,1,0,2,0,0,10,3,0,
AMERICAS,BR1,HqWPjUytevNSmMq-ZcgRZbvtJezSxGV5r_Cwa4x0E13P3m6nCQXHnI6EIEGY5X8suDz4NRpH3cUvxw,zF7dUD2IHL1K93wX7pExUSbx29K897zJOPM6oCiOTOalFvrKJlvQLYuu,BR1_2677677206,1675798968919,1572,1675798968919,1675800541732,2023-02-07,CLASSIC,MATCHED_GAME,BR1,8,0,15160,16,99,Lux,4806,9323,4806,7913,3,0,0,False,False,10287,MIDDLE,0,0,0,MIDDLE,0,0,1,515,117522,14341,2652,0,1,0,1,0,0,14126,1075,8081,SOLO,41,15,178,18,447,Player_3806,MIDDLE,137552,16139,11534,1062,191,360,1,5902,722,801,1,3,3,12,0,2,4,True,252,1,0,0,0,3,0,0,12,0.0,0,0,0,0,0,0,7,10,36,0,2,10,1,0,2,0,3,10,5,0,
AMERICAS,BR1,0pZ8iwPOBplyjBlD-ZxmmYDFjyv81SVUGc4BsTIWvfn53AGwIS6bRVwgKxLPO-_vDODx7RxmmsaiGg,xI01OMR_HIAd1MaZSu0Q-2vuQoJbSx5EVI7linIUHIkHJxU,BR1_2677677206,1675798968919,1572,1675798968919,1675800541732,2023-02-07,CLASSIC,MATCHED_GAME,BR1,5,0,13026,15,29,Twitch,2986,2986,2986,5826,1,2,0,False,False,8850,BOTTOM,0,1,0,BOTTOM,430,0,0,745,128,82,3118,2,0,0,0,0,0,91732,4561,7336,CARRY,26,32,38,5,111,Player_3807,BOTTOM,107487,5516,10629,1861,170,318,1,15626,873,175,2,2,3,16,2,2,7,True,101,0,0,0,2,1,0,0,0,2.0,0,0,0,0,0,0,4,9,3,0,0,5,1,0,2,0,0,10,2,0,
AMERICAS,BR1,617t3ilNdPH11AYpCctIXsSm9j-t1-2leUdhMFi3KhmOWO_VRgdzeHzUYgFBC6674hLmvq-M8DnH7w,2uO4Tt-MGPinEFDZ6vrCmgI5v9IasBh67TErJWT4mEppsUcS9-U5A-yH,BR1_2677677206,1675798968919,1572,1675798968919,1675800541732,2023-02-07,CLASSIC,MATCHED_GAME,BR1,5,0,8275,11,43,Karma,807,3970,807,6269,8,5,0,False,False,6514,UTILITY,0,0,0,BOTTOM,0,0,1,246,15290,6623,6232,0,0,0,1,0,0,1325,511,5202,SUPPORT,51,11,40,25,41,Player_3808,UTILITY,19235,7635,12493,730,13,107,1,2619,500,1058,1,2,3,59,7,4,31,True,127,1,0,0,5,8,0,0,5,0.800000011920929,0,0,0,0,0,0,7,12,37,0,0,7,1,0,2,0,0,10,4,0,
